Gene_Name,Sequence_Name,Wormbase_ID,ADL,AFD,AIN,AIY,ASEL,ASER,ASG,ASI,ASK,AVA,AVE,AVG,AVH,AVK,AVM,AWA,AWB,AWC,BAG,CAN,DA,DD,I5,IL1,IL2,NSM,OLL,OLQ,PHA,PVC,PVD,PVM,RIA,RIC,RIM,RIS,RMD,SMD,VB,VC,VD
npp-25,Y37D8A.17,WBGene00012555,30.73053306,13.06959663,21.15418182,10.49195346,7.523594025,10.53661518,30.97780936,22.61274521,17.64225658,20.86720104,14.71091776,20.34082949,34.55223362,29.99654741,28.87683118,23.12312722,10.52883201,29.99026891,11.72281649,28.05948711,30.88203278,33.39205592,18.41523196,17.98155367,47.53907621,19.52848066,32.01194808,24.01084464,29.57039489,27.8769747,29.55658686,19.71138021,30.16462414,21.70445962,20.43195831,16.53308155,25.40690017,24.63241749,25.84200336,39.21284127,28.84714197
rcor-1,Y74C9A.4,WBGene00022278,11.44878595,13.06329485,14.60786514,13.15747574,3.695606701,5.281161966,11.25201872,18.31898697,9.046248404,13.2843735,9.078084347,27.21103867,27.19927541,13.46329603,16.8810432,25.24845989,16.80049505,14.60968422,10.97856242,13.82629999,26.07265283,27.95412071,18.37319922,10.8672104,19.41661054,18.83825873,61.30552721,24.91961015,22.5356798,28.78266961,20.46271065,11.5329154,18.73718014,8.681517677,15.69238484,13.49209838,23.14403838,19.78906434,12.24600431,16.88123803,24.82414476
tbc-3,F32B6.8,WBGene00009322,31.54628064,13.06309725,24.50660156,20.51495684,11.04883615,14.76979178,29.71801403,32.61243917,32.67437362,21.0122686,26.49475391,20.99635486,32.95732785,32.06804341,23.3032959,32.72090809,23.78385831,42.83913088,12.52679683,55.19656674,39.76035877,33.13052074,35.78595022,32.76220853,41.62009669,31.7878655,67.0883311,44.50744187,56.82853405,66.67597832,30.20828852,28.06329226,31.89136927,20.50360371,21.47842919,35.38256138,42.17092867,59.5259958,34.16951647,15.59570054,38.21843708
qns-1,C24F3.4,WBGene00007698,17.41163269,13.06254382,10.87355617,12.54196024,6.914567951,6.066110645,12.7335282,10.4545014,11.96512632,12.19084245,12.82522697,16.72882973,17.41751968,13.08270898,14.5175519,17.46788319,11.86407207,15.67945037,9.907349689,17.81800119,22.76500684,22.61101779,18.54714332,16.24804422,16.51350299,16.72663582,59.23868978,27.0854684,28.25558097,31.81656664,23.20073207,9.365428053,21.2030218,11.41211572,12.42056396,14.32877616,20.75596272,18.99597864,12.6335001,10.02420727,22.01084842
dnj-9,F11G11.7,WBGene00001027,32.10895635,13.06193792,6.889127143,7.234595317,4.016375482,6.720955876,11.705883,8.279145746,13.39130971,10.48448438,10.86696617,12.0584,18.02747442,12.09934622,12.56475501,19.11317474,8.397260757,41.07414299,5.772238339,15.3058441,21.73554231,19.01058218,13.67068265,11.67726717,34.30243353,19.44713475,22.28419557,16.48806511,19.91758804,22.2008266,14.09243667,8.318981691,22.74074617,8.947984039,11.68716658,5.968377048,16.75214268,13.82368396,12.83758979,17.40146066,25.06783657
rde-4,T20G5.11,WBGene00004326,12.94348601,13.0617527,10.64309427,17.41054734,6.247343496,4.876310872,10.40703262,14.91774349,13.78773652,14.27657374,19.58127472,17.13756748,31.13844467,25.42310878,14.40016408,22.5956405,17.1585467,57.20475186,12.90424861,21.54422364,44.79250155,29.73677564,27.83073667,14.56841875,21.97605649,24.73195068,112.4603312,46.2616504,40.3158201,57.38352701,12.74709718,12.20259918,26.80232925,8.746421237,16.94680779,21.29747726,23.68111694,23.37740409,18.75689766,24.90864185,32.63134378
xpo-2,Y48G1A.5,WBGene00002079,21.34662926,13.05685751,21.53397645,8.730652463,14.27304514,11.52012117,21.2565394,39.08965566,16.29617076,45.25729072,37.04284981,37.87648019,29.77895117,18.19844558,26.69119476,21.10132811,15.03252779,194.2995093,14.19624009,33.41744904,57.38826766,33.91426781,37.56773112,28.18984906,30.71792029,41.61463284,108.7741123,52.68870206,48.08110932,47.16624902,28.88609279,29.56610986,31.07879432,19.80135403,26.09657967,34.23503166,24.9592698,32.02658019,27.97398971,42.18191581,31.31816258
C54D10.5,C54D10.5,WBGene00008300,5.713572647,13.04654412,10.99455798,1.000202589,14.89072505,45.67723255,0.747667107,3.074691727,1.676604879,1.712316586,12.51288815,271.344549,3.526969934,1.153973314,3.370727624,2.2052178,2.389604778,12.91755976,2.17081622,4.195989538,7.313817055,4.236558391,3.339992623,7.401935853,3.241186111,2.129462767,5.666702937,6.419816221,7.587788703,8.202632642,91.94296715,5.356727886,19.27447093,4.645689779,123.6702136,6.943694411,9.479775691,6.75021806,2.668466365,0.626829062,5.269151301
K02E11.t1,K02E11.t1,WBGene00014420,0.780958804,13.03291163,10.63616639,20.50278174,23.31878323,4.735458104,1.407192253,1.103493096,22.56879197,10.40275415,7.894016376,15.01743137,2.573533561,4.399174183,4.313330829,6.642665245,90.48002196,1.814976845,4.106101127,2.41829589,0.59228346,0,4.770981822,3.659976938,0.791315611,14.70988861,0,2.48961156,0.874333083,4.672530764,24.04346106,21.26280078,20.41318238,6.751237456,25.38644378,21.18639468,0.732207568,1.619575501,1.947943052,11.38922073,7.697251669
pgam-5,R07G3.5,WBGene00019941,31.05693572,13.03037442,20.47632176,22.07057603,17.49880738,10.6911157,20.9943769,26.80408542,13.51930973,24.94344356,20.16920812,21.57866651,39.12972914,49.05446933,39.96937862,24.58462722,26.60108844,48.06000821,16.94642718,53.38322035,45.89516105,41.33271602,37.53272981,33.54955771,44.54125092,59.38638673,53.43934516,48.71666669,55.34232763,61.24122175,28.01833731,28.19436375,47.13589322,19.76481564,19.08045044,38.3536909,36.20323693,32.07191349,43.36152653,36.54879968,53.44732114
